,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
79,16,45,30,15,40,12,1,52,31,32,35,30,23,27,25,18,29,65,0
80,50,56,69,69,76,45,59,26,29,48,41,42,55,66,43,27,24,65,0
81,28,25,23,39,57,10,47,18,19,21,19,22,29,15,16,18,15,42,0
82,53,27,3,1,6,40,39,36,31,18,32,39,47,50,63,47,53,33,0
83,36,37,32,45,40,35,45,40,37,31,36,36,35,47,37,43,55,51,0
84,6,9,11,13,7,6,1,5,6,5,3,2,12,13,4,5,10,5,0
85,22,16,19,19,17,4,2,20,15,17,20,16,17,14,6,9,9,5,0
86,34,27,12,22,81,85,21,10,21,78,23,10,10,9,66,20,5,15,0
87,19,20,6,14,74,83,12,9,22,75,19,7,7,26,55,11,11,25,0
88,0,0,0,0,0,0,1,1,1,0,0,0,59,54,50,53,91,87,0
89,12,14,24,34,7,17,29,27,40,14,9,9,13,30,13,12,9,17,0
90,22,28,26,20,12,37,43,29,21,15,13,18,26,33,25,17,16,32,0
91,1,2,4,5,2,7,7,19,7,3,3,9,8,2,1,1,2,1,0
92,15,22,16,14,11,21,20,10,10,9,8,15,15,10,6,21,24,19,0
93,61,38,40,42,16,37,44,12,31,46,49,56,35,26,55,65,47,42,0
94,17,16,20,35,30,8,19,18,8,6,7,7,6,5,17,14,18,29,0
95,45,32,17,38,43,15,28,43,29,13,19,19,22,18,8,36,25,6,0
96,26,46,21,22,13,28,38,18,20,18,18,50,50,35,42,25,41,42,0
97,12,10,20,15,7,8,10,26,14,12,8,9,38,33,6,13,28,5,0
98,35,42,50,33,12,5,53,16,26,47,30,32,23,35,45,15,13,33,0
99,34,41,28,13,17,41,20,16,18,27,26,23,37,21,21,13,17,9,0
100,4,3,2,3,3,2,3,5,3,6,4,4,4,1,1,4,2,3,0
101,53,56,25,15,21,4,33,14,13,26,68,21,11,10,16,44,16,27,0
102,5,5,4,3,4,8,8,6,2,3,3,1,1,1,3,2,4,4,0
103,30,11,7,47,44,1,11,14,10,14,39,13,9,10,10,47,14,19,0
104,40,34,27,37,36,52,38,23,24,31,33,19,16,20,25,20,29,53,0
105,36,7,6,7,10,18,32,13,8,12,28,7,7,11,8,20,17,39,0
106,17,21,17,22,26,31,21,8,18,20,7,7,9,13,30,12,9,15,0
107,40,31,28,34,25,45,58,24,29,26,28,21,19,23,19,27,30,59,0
108,30,19,29,30,37,39,33,6,14,24,15,21,19,25,28,30,17,29,0
109,23,20,16,19,26,18,27,29,12,15,28,19,20,19,21,24,26,36,0
110,53,44,42,44,43,52,56,40,43,46,48,39,39,43,34,44,36,58,0
111,32,48,29,26,47,18,14,53,52,28,56,54,36,57,47,29,52,29,0
112,60,51,44,43,50,29,44,45,44,39,54,59,52,65,52,42,40,42,0
113,14,18,16,9,8,3,2,13,8,2,7,14,20,16,21,21,7,1,0
114,7,9,20,8,4,4,3,16,2,3,1,4,14,16,17,16,22,5,0
115,25,17,13,16,16,31,50,23,25,18,10,7,12,14,43,32,22,38,0
116,34,33,16,7,17,18,27,44,42,50,31,30,33,32,41,41,28,50,0
117,45,33,29,37,32,40,31,33,33,22,24,20,16,14,14,22,24,19,0
118,18,10,10,21,9,33,58,32,18,23,15,15,9,60,22,21,15,35,0
119,24,22,23,26,28,38,24,14,14,22,21,24,29,27,18,25,27,41,0
120,33,34,49,34,26,43,7,32,39,33,9,10,14,11,27,33,26,24,0
121,11,13,11,10,6,3,1,16,20,12,14,9,8,8,12,14,5,9,0
122,23,18,23,19,23,34,50,24,23,29,15,21,14,16,12,17,19,41,0
123,20,26,20,3,10,8,24,19,35,36,43,34,24,29,27,33,22,40,0
124,51,62,53,30,43,66,57,18,14,17,77,20,21,45,21,19,26,42,0
125,38,13,7,25,21,49,45,19,9,7,4,6,16,9,6,9,1,3,0
126,70,66,68,61,55,74,57,46,49,53,61,56,53,58,57,52,57,58,1
127,46,50,51,41,43,37,45,53,53,64,57,65,66,55,62,60,58,19,1
128,26,18,6,7,2,1,4,8,20,17,24,28,22,24,17,10,9,5,1
129,8,5,5,4,5,8,2,2,3,6,11,6,7,11,7,4,3,7,1
130,3,4,5,5,12,5,4,4,4,1,7,3,4,5,5,1,3,5,1
131,5,14,13,8,11,8,31,24,3,17,32,30,32,43,36,7,16,19,1
132,5,1,5,3,1,3,2,2,3,1,1,1,2,2,2,2,4,1,1
133,2,5,14,20,34,18,10,28,12,12,12,15,14,17,16,16,20,9,1
134,8,1,1,1,2,1,3,1,3,3,3,2,3,3,4,1,1,2,1
135,20,35,25,23,25,5,1,2,1,2,1,2,7,9,6,6,13,9,1
136,2,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
137,3,11,11,3,1,2,18,19,28,14,12,5,1,1,4,4,1,3,1
138,2,2,1,2,2,4,3,5,3,2,2,4,2,2,1,1,1,1,1
139,8,21,18,16,23,8,9,10,20,5,21,16,15,15,12,22,29,15,1
140,3,3,5,4,4,4,7,46,27,32,31,18,20,9,45,35,38,37,1
141,11,6,23,30,15,5,13,7,10,27,23,17,9,7,8,4,4,3,1
142,50,27,31,6,3,5,4,1,1,4,1,2,1,2,1,2,1,1,1
143,4,5,9,3,1,2,6,7,3,3,2,3,4,7,5,3,6,3,1
144,29,9,10,5,4,28,21,33,6,4,5,31,7,5,1,1,1,20,1
