,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
54,7140,40800,31875,10965,16065,19125,79815,21165,29325,96390,86700,37995,24735,73185,84150,17850,36465,107865,0
55,6375,3825,7140,1275,3570,1020,12495,14790,32895,13260,10200,125460,16320,23460,191760,189720,13005,13515,0
56,31365,34425,108630,97920,123165,108120,121890,124185,133110,141780,143565,174165,36720,39270,142035,138465,144840,171870,0
57,14280,9180,28305,16575,4590,5610,510,1020,7140,2550,1530,1785,8415,2550,0,0,1275,32385,0
58,35955,23205,27795,27795,15300,34680,37995,34170,81345,70635,30345,49215,39015,38505,35700,51000,53295,67575,0
59,80580,87465,64515,40035,44370,89250,52020,29325,38250,35445,60945,60690,49725,54060,34935,30345,50235,84405,0
60,5610,38505,17340,1530,6630,8160,47685,5355,8160,6630,3570,11985,6120,4590,11475,1785,1785,23715,0
61,31875,29325,21165,20655,29325,47940,33150,17595,48195,22950,49470,36210,21930,21165,33915,40545,39270,73695,0
62,25245,21930,21675,35445,72675,102255,73695,20655,13515,16320,23970,32385,20400,15810,21930,19125,14535,14280,0
63,28050,46665,47430,46665,74715,118830,60435,59925,63240,65025,80325,101235,115260,140760,143055,147900,174420,177480,0
64,4335,2040,5355,25500,3060,7905,7395,5610,28050,6630,510,4845,14790,15810,13770,6630,1530,8670,0
65,247605,210630,230010,198390,205275,205785,123675,43860,65025,68340,63240,30345,37995,29835,23205,75990,48450,68850,0
66,130815,44880,49470,333030,211140,172635,316455,46920,52785,168045,172125,133110,149685,49470,70890,206295,136935,133620,0
67,55080,24990,18870,81345,80070,124440,76245,83130,76755,75225,64005,84150,81600,20655,19890,97920,80580,95880,0
68,81855,50745,38250,31110,19635,52785,14025,4335,2040,12495,18870,28815,40545,51510,51000,94350,107610,126225,0
69,103275,117555,138975,157845,117555,138210,154275,117045,103785,94095,65535,89760,121125,112455,82875,80325,121380,113220,0
70,166515,201705,246585,248370,184365,251685,260610,192270,220830,311610,268770,225675,177225,121125,149685,275655,172890,205020,0
71,46155,57375,105825,63750,86700,153255,119085,74205,154275,76245,132600,209355,135660,79050,185895,88485,133365,140250,0
72,68595,52530,59925,90015,50490,47175,193545,111690,89760,68595,64005,53550,68340,50235,43605,28305,16575,22185,0
73,108630,131580,145605,134385,119340,147900,223380,166260,156315,140760,99960,90525,68085,68340,117810,84405,58395,103020,0
74,137445,154275,153765,155550,137190,159120,142545,154020,177735,153765,169065,193545,168045,174930,168045,176970,157845,176205,0
75,21675,20910,24480,14025,16575,32385,36720,20145,36975,38250,46410,32130,39780,38250,25755,31875,30600,45390,0
76,34170,37740,51255,59415,26775,43605,63750,54315,64260,59925,53550,26775,32130,54825,27030,35190,27795,75480,0
77,114240,80835,103275,101745,119850,152235,148410,116535,123930,109395,112200,107100,95625,108120,101745,116025,162435,170595,0
78,11220,11730,27285,27540,22950,36465,16065,14790,10710,13770,20400,31110,43605,50235,43095,37230,52530,51765,0
79,117300,109905,128265,150960,141015,165750,183090,143565,119085,121380,95370,105570,106845,119850,106845,103275,102000,82110,0
80,35445,34935,40545,28815,33915,68595,47430,42585,45645,60945,49215,52275,58395,58395,53295,39780,32895,59160,0
81,13515,7650,13005,19890,66045,153000,32130,12495,6885,12750,7905,14790,7140,6885,15045,7650,5355,37995,0
82,33660,11985,255,255,1275,155805,162690,151215,152490,180285,112200,116790,98175,81855,60435,83130,71910,103275,0
83,24225,16065,15810,37740,50235,43860,38760,21675,20910,28815,24225,23205,47940,29580,31620,32895,26010,28050,0
84,391170,464355,412845,485010,457725,509235,514335,487305,530910,642090,520200,484755,397290,415650,454920,472515,356235,457215,0
85,215220,264180,252195,227715,264435,296820,333030,259080,255255,275400,332775,308040,279480,323340,370260,342210,283815,304725,0
86,30600,39780,3060,27795,113730,102765,80325,49725,58140,130305,84150,109650,85425,74715,117555,86700,75735,113475,0
87,87210,83640,84660,110925,150195,126225,83895,82365,125970,162690,87720,88485,77010,84660,114750,84660,80325,116535,0
88,0,0,0,0,0,0,0,0,0,0,0,0,54060,42075,28305,47175,62730,59670,0
89,8415,11220,18105,29325,21420,37740,33150,54315,37485,30600,35700,30345,32130,29580,27285,23205,11985,15810,0
