,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
44,1052895,1798515,1011330,1014135,1307385,1724565,3401955,2015010,1441005,1663365,1829370,1088595,1183710,2249865,1101090,1003425,886380,1056975,0
45,1329060,866745,1039635,1958655,1226295,1827585,2668575,2721615,3880845,4029255,4067760,3890535,3584025,3457800,3661290,3824745,3718665,3677355,0
46,1786020,1562385,1307895,1299990,1129905,1683510,2493900,1678410,1308915,1173510,958545,1182180,1553460,1382355,1165350,1049835,911370,1528725,0
47,1110270,1133985,1334670,1717680,1268880,1764855,2011185,1268880,1454520,2012460,1679430,1375980,1165095,1003680,1228590,1499910,1261230,1767405,0
48,691560,626535,1138065,1765365,2239920,2317440,1091400,404940,555645,1916580,608430,413355,447015,651525,1745730,547995,386070,1093695,0
49,1786020,1224255,1423920,1407600,979200,1769190,1913010,1275765,1186005,1151580,835635,932280,972060,841245,876180,938145,666825,1246950,0
50,1345635,360570,194820,567120,2854980,3552660,612000,395250,152745,230775,933045,479400,201450,159885,367965,846855,221850,249645,0
51,1291320,762195,587520,1697280,1394340,1681725,1486140,734400,1120215,548760,703035,1226550,1158465,1979820,2276895,1388985,604605,1496850,0
52,2229210,2629815,4103205,3880080,1840845,1887255,2559180,1684275,1115625,1238790,1328550,1175040,1259700,1073295,889695,938910,959565,1381845,0
53,440130,551565,603585,762960,583695,956250,973335,425595,427125,329460,255255,687225,357255,165240,156825,301410,196350,624495,0
54,564060,751485,836400,639540,343740,871845,1850025,1318605,1506030,1292595,1174275,1190595,1219155,1320390,1233690,915195,1001385,2107830,0
55,1685550,981240,877455,588540,316200,1167645,1150815,587520,744600,1074825,680850,1050345,681615,676005,1321665,1285455,684165,959565,0
56,1375470,1455030,2132055,2314125,2524245,2914905,3216060,2444175,2274855,2389605,2748645,2810865,1771230,1763325,2559945,2695350,3002115,3279300,0
57,594915,693600,1392045,849405,355725,669885,338385,296820,362100,127500,118065,482715,753270,128265,56610,117555,348840,1560345,0
58,2736660,1986195,1558815,1203345,1062075,1905360,2219520,2102220,3556995,2752215,1843140,1801830,1266330,1008015,1057485,1510365,2150415,2226915,0
59,1755930,1643475,1300755,1123530,1293105,2376090,2347020,1810245,1593240,1311210,1371645,2122620,2038980,1465485,1176825,1379295,1711050,2161635,0
60,394230,477870,556410,505410,318495,523515,1159740,497505,375615,355470,233580,259590,283560,312375,347310,383520,309315,634695,0
61,1360170,1052130,1049580,1274745,1371645,1950240,1701870,1372410,1717680,1235475,1324725,1366800,1079415,879750,1079925,1404795,1293360,1954320,0
62,269025,181305,169320,357255,1361955,2542860,2133585,412335,265200,257295,437325,222105,211395,331500,275145,280755,247095,354960,0
63,754290,683910,942225,1266330,1270665,3889770,1417800,1218900,1369350,1403520,2943210,4020075,4315110,4354890,2479875,2077230,2620635,3678120,0
64,532185,211395,521730,1833195,409275,775200,671925,494190,2751960,953955,196860,179010,744855,1310445,1324215,557940,128775,456450,0
65,3432045,3316785,3479475,4201125,3338715,3720450,2788680,2216460,2556630,2567850,1430295,1038360,1767915,1916325,955485,1393065,1621035,1772250,0
66,2730030,2046375,2214930,3490950,2776185,3011550,3900735,1659540,1552695,3043935,3039600,2702235,2657100,2523990,2834325,3388440,3255075,3948675,0
67,1638885,1067940,967980,1706460,1700340,3137265,1831410,1315545,1873740,1925505,1599105,1459110,1587120,971295,938400,1897965,1589415,2147865,0
68,638010,541875,465375,375615,346290,1270155,884340,261120,250920,421770,156825,236130,643365,719610,495975,1066155,1548615,1761540,0
69,2571675,2610180,2577540,2630835,2714985,3033735,3177555,2841975,2774400,2783325,2650470,2620890,2887110,2946525,2589015,2543115,2561730,2877165,0
70,4015995,3916035,4998255,4850100,4162110,4864125,4796805,3972135,4311795,5008965,5315475,4988565,3275985,2023170,2723145,5326695,3808935,4151910,0
71,1636335,1786275,2165715,1968345,2005320,2858295,4032825,2520675,2530110,2211105,2665770,4377330,2805255,3218100,4569345,3311940,2884305,3672765,0
72,2223090,1150050,1192125,1366800,543660,715530,5230050,2589015,2060655,1414485,1314270,2440605,1476705,1639140,1217880,1308150,829005,979965,0
73,2929695,3256095,3203055,2903175,3175260,3509565,4008345,2927145,2149395,2328660,2915415,3241050,2661435,2669595,3354780,2599725,2515065,3674040,0
74,2730540,2719830,2551275,2526540,2580855,3074535,3144405,2926380,3136245,2989110,3016650,3036540,3046995,3032715,2902410,2754000,2866965,3606975,0
