,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
44,1429530,2220795,1250775,1343595,1654440,2330445,5030640,2634660,1833195,2232270,2332230,1514955,1660305,2772615,1294380,1230375,1036065,1308660,0
45,1562130,1041930,1289790,2354415,1311465,2348805,4064445,4487490,6609855,6308955,6083280,5797425,5340720,5083425,5523300,6032025,5586795,5615865,0
46,1889295,1516485,1242105,1272960,1079925,1855125,2769555,1610580,1200030,1062585,881280,1164585,1633785,1366290,1086300,964155,823905,1607520,0
47,1054935,1057485,1325490,1741905,1187790,1908930,2132565,1181415,1431570,2133075,1658775,1351500,1191105,966705,1232670,1565700,1249755,1965030,0
48,633930,633930,1122255,1978800,2553825,2588250,1154130,442170,671415,1991040,574260,437070,491385,746640,1799280,525810,384285,1151580,0
49,1983645,1438455,1614150,1560600,1105170,2109615,2199375,1358640,1186515,1128885,843795,917490,936105,855015,864195,855015,587775,1258680,0
50,1357365,357510,226440,571455,3359370,4655280,618120,384030,167025,261630,941970,461040,188955,148410,365670,858330,214200,247350,0
51,1613895,786930,614040,2080290,1737315,2149140,1412955,606900,1521075,558450,736185,1597575,1389495,2300865,2836875,1594260,494700,1523625,0
52,2673420,3991260,9728505,9734625,2767260,2328150,3293325,2010165,1426980,1525155,1715895,1564680,1544280,1318860,1143165,1178865,1216605,1751085,0
53,339660,441150,499035,586245,459000,913665,947580,359550,348075,283815,191760,559470,332520,177225,116280,257550,158355,658665,0
54,494190,816510,868530,590325,254235,844560,1978545,1179120,1279590,1410150,1274490,1094205,1065390,1321410,1302030,773670,826710,2429385,0
55,1759245,868275,762705,531675,262905,1177080,1127865,533970,748680,1068195,664530,1226040,708135,719610,1688610,1706970,700485,1040910,0
56,1380570,1545300,2882010,3224475,3287205,3897675,4526760,3371100,3225240,3440205,3830355,3834690,1894650,1899750,3298170,3568725,3992025,4553025,0
57,528105,623730,1336710,759900,288660,700485,341700,262905,323595,115005,92820,462060,694365,91800,65535,151725,341445,1655205,0
58,3186480,1996650,1582020,1221705,1039125,2132565,2505630,2308515,4737135,3032205,1910715,1916070,1224510,969765,1129905,1721505,2358750,2516595,0
59,1720995,1584825,1195440,1027905,1223235,2736150,2400060,1494045,1391535,1164585,1183455,2150925,2094060,1304325,1046520,1279080,1703655,2451060,0
60,309570,379440,430440,393210,263670,496485,999090,417180,319515,290955,202980,224145,257040,246840,282285,310335,251175,562530,0
61,1144185,877710,926160,1130925,1280355,2158320,1656990,1208190,1709520,1054425,1207425,1292085,954975,672435,895560,1330845,1158465,2183310,0
62,313650,213180,222870,390915,1426215,3169140,2514045,459000,326910,318750,469455,270810,268515,373830,299880,310845,289170,416415,0
63,814725,793815,1094715,1507305,1438965,5254020,1761285,1566210,1617465,1790355,5398860,7561770,7547235,7138215,3256095,2848860,3729120,5544720,0
64,408510,168555,431460,1724820,325125,727005,617865,392445,2832030,798660,162180,145095,562785,1144185,1146735,461295,95115,461295,0
65,4664205,4323780,4860555,5970315,4440315,4946235,3495285,2621145,2931480,2811885,1551675,1105425,1909950,1969110,880515,1444065,1717170,1997415,0
66,3653640,2515575,2898075,5126520,4085865,4428075,5591385,1759245,1681215,4219485,4150890,3590910,3497835,3067140,3824745,4963320,4593825,6061095,0
67,1793925,1092165,984045,2117265,2133330,4284765,2337840,1749300,2604315,2483955,2079525,1971405,2066520,979455,965175,2340645,1857930,2746095,0
68,723435,599760,539580,423810,350625,1392300,815745,209610,205020,356235,182835,279990,652290,819825,618375,1203090,1733490,2100180,0
69,3215550,3240540,3224475,3324945,3446325,4022625,4376565,3646755,3531240,3597540,3365490,3273690,3802815,4019055,3290775,3156900,3189285,3813780,0
70,4977600,4829190,6850320,6415800,5096685,6726390,6446910,4840155,5735715,6913560,7553100,6868680,3820920,2141745,3402465,7681110,4730250,5425380,0
71,1667700,1743435,2677500,2440350,2541330,3858660,5489640,2918220,3290010,2800920,4062915,7575285,3660780,4960770,7339665,4263090,3633750,5492190,0
72,2460750,1410915,1435650,1530510,677790,922080,7085175,2999310,2148885,1463445,1348185,2617065,1472625,1638375,1238280,1297695,831300,1079415,0
73,4731525,5291760,4868715,4562970,5243565,5656155,6554010,4455105,3376710,3798225,4762635,5055630,3463155,3879060,5812215,3752325,3303270,5181855,0
74,3927765,3809190,3571785,3614880,3766350,4452045,4769520,4659105,4712145,4233765,4608615,4786860,4803945,4568325,4322760,4139670,4308735,5256060,0
75,656880,657900,604860,573495,758625,1235475,1449165,917235,1343850,1509855,922590,764490,748170,834615,744090,687480,695130,1218135,0
76,1183455,1477980,1676370,1356600,1281885,2003025,2197080,1431570,1333395,1197735,1229865,1248480,1139340,1404285,1533060,1380060,1329060,2044845,0
77,2934030,2615025,2118795,2213655,3349680,5395035,4189905,2750685,2468145,2916435,3367785,2771085,2617320,2706825,2455140,2925615,4246260,5249685,0
78,768315,826455,992205,864195,1120215,2557140,1166370,690030,736950,683400,724710,625005,388365,606900,1359660,783870,704565,2351610,0
79,2521185,2763435,2306220,2298825,3236460,6893925,8704935,4050930,2312340,2145060,2033880,2153730,2186625,2218755,1881645,1740120,1733490,3313215,0
