,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
36,14204,11552,12402,14276,20934,32744,30212,24159,26772,18021,22179,16854,6979,9463,22019,22894,17425,16521,8201,7940,11888,12931,20769,21971,12011,11422,18938,16424,0
37,35889,25918,35515,29351,30690,45180,36442,35018,39672,32721,39660,47569,34512,38522,59170,39532,34841,41503,32697,32374,35298,26736,29559,37291,25078,24014,29463,24702,0
38,16169,8629,5221,6912,23257,24527,19103,18027,18007,14685,21980,23156,12658,12847,15618,12617,13595,19318,17861,15953,15284,11913,16976,24596,11963,14466,16774,11109,0
39,30644,18847,22311,18926,22527,25740,28153,25595,25847,18223,26684,29177,17049,25248,37535,24213,18022,21274,18478,16792,18374,14811,20831,23795,14159,15491,17933,16292,0
40,26892,18738,22093,27053,35509,32051,21215,14033,15504,19459,31326,39864,21789,21008,23932,21593,21777,24140,17666,15102,13948,10686,17960,27607,17014,18948,25410,22523,0
41,14826,6163,13182,20639,32143,29243,32005,29383,25445,27651,41688,26629,18765,25036,26445,20819,28501,24180,22585,32132,21221,21529,39150,25425,21537,26269,19211,22198,0
42,28981,35163,34911,36591,35103,32356,28249,27862,14976,12495,27069,25335,13972,15423,7915,6293,16480,15377,14164,15117,10820,10785,22416,22192,12802,13420,11579,9728,0
43,17466,6131,4381,4886,15486,19488,14769,14795,12615,9706,15220,14123,8144,9226,10875,5963,6851,11507,9115,9573,13343,7556,8890,12648,5333,5301,6484,4255,0
44,10699,6829,5937,7301,11696,11071,12739,9662,7579,11863,19761,21747,15706,18018,25678,31753,26456,20866,20820,20946,19246,22585,39616,23455,16731,15682,14642,11923,0
45,36106,22392,19069,20219,27913,32556,31487,27004,24187,23856,32642,47932,29018,27883,25332,21963,19478,20414,20462,20336,17160,18334,28325,40467,24257,20051,20378,18929,0
46,19584,19510,15423,14861,18116,15710,13050,15741,16937,19118,26983,20233,19754,35918,32994,31505,35702,27640,22948,29001,32198,30734,39177,36943,32799,32856,27953,29376,0
47,20471,3675,1963,6802,19044,22702,13306,11237,4054,3545,25124,23661,4071,3900,3498,3423,4569,3926,4663,3891,3845,563,508,341,249,1187,1190,1145,0
48,64545,47098,26641,20667,19864,20801,19020,18528,21213,28275,53990,43995,27043,21272,16973,12032,11201,14074,17975,29607,32376,26640,33241,20254,13397,12734,14843,21587,0
49,10266,3653,3490,7004,14934,16666,13501,11025,13869,10241,12510,10123,4071,5160,7351,4747,4725,8088,7289,6471,11021,10797,17415,16207,11222,11773,13466,13379,0
50,3671,484,135,183,13977,19673,12749,4473,4318,7246,11302,4653,787,3396,1319,794,575,133,103,641,184,811,904,14949,376,283,2251,549,0
51,110609,23965,21167,109714,109042,24410,24241,106562,96923,24449,28962,123753,23543,25451,130445,116664,21391,23270,140483,128709,25549,24786,140913,21821,17963,119249,134589,28085,0
52,13334,7079,7257,11635,13289,9564,5458,3761,3489,4559,8303,7345,2991,3486,4673,2360,1634,1448,1903,1409,1834,1592,5627,3552,2492,2479,2723,2580,0
