,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
52,58,52,26,19,53,76,90,54,32,40,60,79,58,70,81,59,41,39,37,35,39,35,57,78,43,41,43,55,0
53,63,28,11,16,28,59,67,70,49,44,53,59,45,69,60,73,55,27,37,37,35,42,58,39,72,52,23,22,0
54,12,17,21,7,7,6,22,24,26,27,28,5,29,12,9,20,13,18,27,16,17,22,23,15,20,23,21,9,0
55,20,11,14,51,67,58,44,42,34,25,51,60,27,20,36,46,27,14,9,9,5,7,42,55,11,12,10,18,0
56,3,6,6,84,42,43,9,11,3,8,13,7,17,11,6,13,13,13,24,26,30,25,8,15,25,31,21,25,0
57,58,35,18,21,28,35,49,35,37,43,32,30,37,33,33,39,40,36,38,41,19,32,31,32,37,35,33,32,0
58,19,13,8,21,30,17,16,14,14,21,18,10,14,11,6,36,39,15,14,10,12,12,12,12,19,25,14,16,0
59,43,26,49,37,72,69,38,43,49,33,49,32,34,15,22,19,32,34,25,17,23,26,47,49,19,29,22,29,0
60,60,24,17,26,49,58,53,44,52,40,59,52,57,61,50,54,48,25,26,34,46,44,64,59,37,44,33,37,0
61,62,25,12,5,35,76,79,75,73,78,69,76,29,37,63,62,49,64,60,53,42,34,77,77,31,27,41,66,0
62,62,64,4,7,8,21,27,28,24,25,9,20,21,12,8,6,10,2,6,17,8,5,7,6,4,10,9,7,0
63,72,35,8,15,33,76,70,64,76,75,62,71,45,49,62,43,39,50,47,44,35,36,64,73,33,24,23,40,0
64,31,8,7,12,16,11,16,10,11,27,23,25,14,13,21,32,24,23,27,17,9,12,16,20,11,14,4,14,0
65,13,22,28,16,25,22,12,6,12,12,23,19,11,8,9,16,16,20,11,10,12,11,17,29,19,19,9,10,0
66,40,21,15,23,66,69,70,65,40,39,50,50,36,48,64,58,28,22,27,27,55,56,41,51,66,34,27,27,0
67,49,46,46,30,23,41,27,27,44,65,41,43,45,48,42,26,61,47,40,37,25,37,27,5,50,42,31,24,0
68,34,13,6,7,86,79,76,45,22,25,69,55,19,29,86,53,24,16,26,21,19,10,21,63,22,18,16,13,0
69,33,41,52,38,46,48,51,43,61,41,53,11,40,29,37,22,21,16,32,63,20,14,53,28,66,45,24,12,0
70,2,6,14,39,22,21,21,16,16,24,40,28,29,27,38,37,23,32,26,30,25,32,33,36,30,24,26,35,0
71,18,47,74,66,48,43,23,21,59,72,81,63,19,30,65,32,25,40,10,28,29,43,36,3,31,42,49,34,0
72,33,34,32,29,45,29,39,37,23,29,43,38,29,43,34,29,17,24,25,23,29,29,32,26,19,34,37,29,0
73,73,68,67,65,58,57,53,62,59,53,71,47,59,60,48,53,60,76,69,55,65,48,62,61,63,53,65,50,0
74,53,47,55,70,70,55,57,56,67,62,66,68,49,52,65,42,59,83,50,52,58,55,66,21,71,67,75,78,0
75,59,41,22,15,13,20,32,46,46,47,54,24,17,17,18,17,18,18,18,47,23,20,25,17,61,36,19,19,0
76,46,42,34,34,34,28,20,32,37,17,39,38,20,11,19,33,33,23,13,19,22,19,34,13,17,12,22,31,0
77,41,34,16,28,29,20,24,31,35,37,68,31,30,66,31,23,33,40,28,26,22,29,39,24,15,16,36,37,0
78,62,36,19,17,13,37,28,46,78,37,58,34,6,6,10,15,29,70,31,23,3,5,23,23,9,15,54,18,0
79,28,19,14,12,17,15,18,17,18,21,28,24,14,13,13,19,15,17,20,18,15,13,18,24,13,16,15,18,0
80,63,57,25,12,13,31,40,50,82,55,70,39,11,3,5,9,68,82,59,42,32,8,17,61,3,18,90,36,0
81,44,45,43,29,31,45,49,55,59,24,50,29,54,51,51,63,43,52,29,38,67,52,57,71,41,52,67,45,0
82,40,61,73,70,76,90,69,79,82,91,71,83,70,65,69,59,71,81,95,97,84,68,97,84,62,75,84,98,0
83,62,38,48,39,41,30,25,27,32,23,44,41,27,25,18,15,31,23,26,40,39,24,44,71,35,16,30,33,0
84,72,67,64,26,20,16,12,20,58,35,73,29,2,3,31,6,8,10,21,14,15,3,9,4,1,0,0,0,0
85,55,45,52,55,56,49,42,53,46,52,34,16,25,40,29,44,48,41,37,42,39,33,33,30,38,29,37,51,0
86,32,22,25,14,13,16,14,30,18,14,21,25,24,15,34,26,21,18,19,12,20,17,25,22,15,15,21,12,0
87,32,15,13,12,6,10,7,15,22,26,25,22,16,14,10,11,10,21,29,16,10,14,20,17,13,22,25,24,0
88,20,20,13,9,6,2,8,9,3,5,7,15,12,20,24,27,19,4,24,25,17,16,17,19,10,13,24,19,0
89,15,20,8,19,17,1,23,35,45,36,9,50,60,68,30,21,27,34,34,25,25,30,29,33,38,31,27,28,0
90,41,25,21,16,17,18,22,25,22,22,44,39,22,21,27,23,30,20,57,48,32,17,29,35,17,16,24,16,0
91,73,63,65,58,61,61,59,71,46,59,48,33,57,49,63,62,58,41,64,66,56,60,53,40,51,51,50,53,0
92,2,2,5,12,9,7,5,2,2,4,2,4,13,15,10,8,15,12,8,9,13,7,14,7,12,15,11,27,0
93,37,33,39,37,36,25,27,37,22,32,32,27,31,31,35,24,22,30,37,27,31,41,31,27,38,28,46,40,0
94,37,31,42,37,34,29,34,39,44,39,28,50,40,52,45,44,41,44,59,53,47,34,43,54,20,27,31,42,0
95,69,53,31,25,34,50,30,34,66,32,66,48,28,31,19,26,66,86,60,28,16,13,19,66,12,16,37,27,0
96,71,83,70,71,68,68,64,44,53,63,80,87,70,65,41,46,42,53,50,58,63,72,57,21,44,69,59,53,0
97,33,31,23,13,26,25,44,34,23,35,41,35,35,29,32,45,47,19,29,21,36,28,27,40,17,26,13,12,0
98,34,12,8,10,15,29,32,89,94,48,87,73,16,23,51,49,76,80,56,46,42,23,63,87,45,79,92,59,0
99,24,99,73,69,83,93,102,94,104,79,89,77,84,84,66,48,69,82,76,70,72,56,96,73,71,90,95,72,0
100,71,64,60,73,82,81,70,67,54,79,83,46,66,62,76,83,84,75,52,66,62,65,84,31,55,51,43,81,0
101,13,13,18,18,17,29,32,34,25,24,65,56,19,14,36,45,45,50,51,34,22,13,42,50,24,18,21,32,0
102,47,69,76,84,67,57,74,73,67,73,23,27,66,73,62,81,82,67,72,84,71,74,43,27,85,84,80,77,0
103,6,7,74,65,60,59,47,49,51,55,50,48,44,64,77,54,67,68,43,52,62,56,19,13,14,13,78,77,0
104,8,38,38,17,42,40,38,33,36,20,44,44,24,11,16,44,30,11,26,49,52,33,48,48,24,14,32,47,0
105,20,21,24,21,27,15,20,18,24,14,12,20,14,15,20,17,20,23,13,17,11,11,18,17,17,14,10,13,0
106,34,22,13,22,31,21,26,49,30,15,21,18,16,16,31,33,26,24,15,15,22,29,32,47,28,19,10,17,0
107,11,19,31,9,6,16,7,11,38,14,32,35,10,12,79,39,35,30,26,19,35,53,61,35,16,7,10,12,0
108,2,20,29,45,49,38,39,47,43,46,30,32,44,64,46,46,55,54,44,51,37,41,42,19,45,45,54,32,0
109,51,45,39,26,33,45,58,40,13,11,21,46,23,13,17,30,31,47,40,27,9,5,15,45,29,21,17,18,0
110,12,16,31,25,23,23,15,31,17,42,42,27,10,13,25,24,12,13,28,11,27,32,36,31,34,24,32,45,0
111,50,24,21,22,18,35,29,30,57,40,49,74,30,15,18,14,25,40,29,32,25,17,16,24,9,15,55,50,0
112,32,31,23,25,27,26,22,27,31,25,24,13,33,22,11,19,21,22,42,37,25,16,12,7,21,20,13,16,0
113,11,64,71,63,50,63,45,48,54,51,64,57,58,43,28,29,25,33,28,24,20,21,64,12,82,49,34,40,0
114,2,22,34,44,46,45,45,40,39,46,21,31,28,38,38,38,40,45,38,42,45,41,34,23,33,41,39,30,0
115,37,34,25,32,32,27,24,31,37,32,57,46,28,27,59,44,44,48,27,26,31,31,38,36,33,34,40,25,0
116,33,25,16,16,19,28,24,39,59,36,68,45,10,26,93,91,96,94,78,49,51,35,62,59,31,40,46,58,0
117,60,62,56,39,68,61,54,57,13,43,29,42,44,47,66,58,44,42,50,52,55,49,57,7,4,67,47,47,0
118,6,12,14,22,17,8,10,10,4,17,12,8,15,15,13,13,12,10,16,17,13,17,8,7,24,24,12,27,0
119,75,60,44,64,58,65,48,56,68,52,82,74,42,38,48,32,47,60,39,43,36,39,74,54,47,45,61,57,0
120,65,32,73,97,78,95,81,71,78,73,91,58,53,55,64,66,73,71,23,27,64,61,76,56,70,77,75,78,0
121,24,17,20,12,23,18,17,10,20,19,41,38,9,8,15,8,17,57,74,41,27,14,33,49,13,8,12,23,0
122,31,51,54,64,75,17,25,4,8,82,76,5,5,68,81,28,36,50,16,57,20,8,9,8,2,65,74,45,0
123,47,46,22,12,17,20,24,52,53,38,61,37,19,12,16,20,52,53,18,12,12,11,16,60,28,20,15,9,0
