,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
36,31702,27194,32758,33842,36151,40793,36906,34492,36779,32145,37241,45731,33811,34431,39272,30184,30990,32932,30320,29600,34442,29290,35651,46225,32820,34160,31464,27435,0
37,60488,45187,35482,35990,47371,53236,55369,52400,52486,50766,63662,56768,48820,56249,64608,64576,54955,52084,48160,50879,49246,51157,62805,61479,47332,46686,48409,48252,0
38,31622,3499,2349,28260,34461,32068,7478,5040,27512,26778,30998,6226,4911,29521,28673,26745,4971,3834,26737,28526,28699,4426,5073,29809,27435,23685,3794,3590,0
39,13169,12768,13936,18864,21652,19749,18833,16691,14962,16854,26656,53724,25953,16804,15423,16998,18354,14673,11616,10565,11050,10958,17821,51680,23807,12383,8415,7450,0
40,9092,17136,13906,13284,15684,25414,21651,17105,21890,22887,31758,37376,27469,29484,35142,34870,33831,30584,31425,31534,30356,5147,5956,38886,32167,37376,40171,39888,0
41,71291,62161,104950,97948,82088,96877,72764,68871,110030,100630,96388,101027,66474,68419,116156,69155,66020,104076,73368,68048,100468,65336,69887,122314,62636,63942,112952,70797,0
42,28384,17658,14483,22434,29391,29141,31622,25378,27659,36816,39249,29509,22424,22406,18948,20689,19798,18130,19015,18622,21212,26601,40984,32058,26197,28327,26204,25708,0
43,7058,2647,2469,408,483,140,353,832,4412,6350,12886,9672,4008,3242,3411,3030,1900,1173,788,862,1114,1019,3572,4556,1840,1448,1464,1749,0
44,129989,126194,127474,111380,102363,102666,90083,94343,97918,78898,82132,85991,62833,55983,59400,47499,48346,64569,59640,56301,60234,60215,69181,78505,62739,65594,70770,63322,0
45,57119,48652,29522,27040,35986,36930,40971,43935,31352,29063,45213,42369,35017,43744,37639,41320,50852,40800,43752,56420,50276,44631,62604,48091,37913,50390,41764,3595,0
46,48506,32763,42306,27018,24870,32549,34858,40731,41405,31478,28696,43535,42235,35017,43744,37639,41320,50852,40800,43752,56420,50276,44631,62604,48091,37913,50390,41764,0
47,7858,9128,14549,6186,4878,11919,3530,4462,21485,16547,20835,12983,12503,2324,2745,26783,35653,9956,6478,21024,16769,17687,26007,344,365,22517,18711,2461,0
48,18026,11425,6512,7164,15582,18509,14669,13498,14441,10227,15354,17287,8831,10172,11179,12093,17933,13734,7563,7427,8642,7795,9595,16120,6859,7638,11145,7221,0
49,37420,31178,41785,32428,36070,37308,27887,26789,36990,29708,34582,61375,32701,31644,43757,31242,28247,49047,43193,42255,48261,40278,46377,62558,33798,30001,42010,34270,0
50,185560,190724,209194,192128,188744,202435,183859,181356,194938,181149,189733,200571,175770,175404,191689,173686,174042,197925,175050,176014,197547,180053,192909,217296,188820,191805,201736,167605,0
51,51137,52844,47528,42295,44480,50245,50656,41398,34062,35021,42250,39108,31675,35637,38231,34072,32149,31597,32359,32667,30296,34187,41998,46489,35198,29860,28537,33311,0
