,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
35,6142,9288,7286,7588,11717,11101,5817,4398,6977,14224,18481,17210,8281,8788,15066,11331,9492,7810,9562,14815,9874,9359,15336,21970,14278,9451,6574,6446,0
36,15478,9320,9530,11171,12682,16899,12634,7678,7361,12829,21961,17196,11563,8092,9791,15361,11628,10455,13077,15387,23088,21147,22621,14837,15735,20882,20956,23807,0
37,35658,30750,25893,20524,21950,17978,13994,18933,23187,17664,26378,25458,15764,19022,19331,16429,20348,17851,14688,18212,16834,13658,22070,25522,13267,16842,18014,922,0
38,10480,9624,9158,8999,8497,8655,8282,7268,9655,10949,14568,9644,7258,8642,8786,9600,7796,3973,4130,4407,4714,7507,11561,10337,7408,5265,5219,7926,0
39,11042,42424,27713,18335,17461,16294,17847,18742,19294,19617,25184,35642,21162,17320,28662,25717,16180,14651,20217,21854,16491,15458,17610,711,446,0,0,0,0
40,6703,8860,7248,5703,5116,5644,5426,4775,5116,4444,7468,10628,6127,7374,6826,5059,4794,4753,6385,5366,4522,4054,6676,15539,6402,5564,7955,6614,0
41,21733,21773,24845,21931,22655,23079,21106,24003,27650,29027,32589,40001,28708,25767,32233,30873,27048,29499,20794,18097,18699,19174,25960,38404,28713,28280,29443,21972,0
42,2138,1665,1383,2112,3142,4746,6924,5056,5212,8534,44452,34952,17336,17747,16898,14474,13925,12076,10889,10945,10232,9397,12509,15931,10101,7462,5469,4403,0
43,18954,15175,12233,12477,12332,12321,12672,12885,10292,9220,14039,19376,14185,14218,12466,10620,11694,11862,14387,13781,13067,13071,15623,19616,14287,12782,10644,10547,0
44,22769,15439,17588,16390,18072,24249,26865,21005,25083,28817,33446,59080,36491,31972,37630,34673,27748,28815,31917,15926,14774,10983,12700,41116,12172,7078,7296,7311,0
45,20647,21434,26123,17433,23502,22571,15194,17750,26294,18384,27408,47586,74827,97472,128717,160589,127888,76679,75573,78270,87770,101184,75458,50890,50429,71469,47088,42235,0
46,10166,14088,12167,10828,12870,15481,12403,10302,10268,8976,14634,22778,13919,12175,10284,8463,10904,13302,11516,9473,8178,7811,13048,20364,12917,10752,8668,7454,0
47,7886,11052,19202,14720,11911,10373,9993,11721,14653,10454,13576,17557,11155,11933,17131,13629,12130,11006,8590,10881,12987,11049,15085,16686,11073,11979,18894,14356,0
48,10319,12009,9600,14747,13660,4442,4257,6672,11337,15750,16295,8694,3920,5480,13780,4227,3607,4334,5838,11620,3556,3295,7903,31261,10415,2217,2141,2013,0
49,12367,9491,8644,9708,12090,13466,9904,10855,10773,7284,12380,12510,8374,7319,7223,5266,6036,5874,4836,4719,5090,3654,7063,7834,3447,3475,4991,3225,0
50,9227,4100,2739,1934,3351,9276,2751,2008,4792,22788,31310,4416,2717,1517,2520,6283,3573,1639,1064,2491,5428,1559,1836,3794,3337,7606,1007,330,0
51,4809,4920,20124,4938,3745,12970,4318,3545,13919,14111,16376,8348,4085,12293,3445,4276,11225,9185,11784,14591,8977,3328,8090,16250,5943,3376,6375,3016,0
52,20264,8295,6233,15903,26054,24060,26271,73256,52048,23899,23346,27443,18998,13952,13221,14764,12815,10974,9328,8089,8204,8435,11612,22739,14261,9437,11326,14184,0
53,25044,18467,7049,3030,2820,2805,3285,3728,4660,3568,5310,6197,2704,2725,2348,1630,4019,2404,1077,941,1950,1478,3933,7138,2671,3539,8940,7126,0
54,6332,4886,7476,7126,3396,2817,7481,7268,3560,1858,4867,13760,7722,7969,14207,13549,6780,6862,16160,15575,4882,5462,23419,20356,6693,5193,3533,3007,0
55,4657,7180,7736,2638,3583,9122,5276,4509,3426,1830,6232,7112,3857,7620,6974,5019,17252,5084,5303,27307,27637,4815,6742,5332,1590,2121,29157,26443,0
56,7813,8739,13224,11657,16119,8855,9882,21445,23207,24961,28448,33010,24416,22364,23357,26637,27714,11027,10888,24716,25680,26947,31070,31705,25435,22174,21379,21895,0
57,6622,8126,5880,7663,7707,3820,4607,9694,5541,2518,4420,1907,1628,3250,1152,778,2976,4607,702,268,469,1806,11160,1901,463,624,835,618,0
58,12595,13582,11593,10837,13332,17768,12994,10744,8523,7357,13765,17286,13845,24776,19267,12717,13347,9326,8163,8781,13110,17473,19638,18692,15830,16630,18909,19145,0
59,10301,11588,14077,17891,14690,14222,12655,9758,8629,10333,18662,16597,11191,10425,9049,9323,14785,14148,9603,8104,10083,12606,16553,22490,12905,11307,8852,10185,0
60,8931,10161,7365,4076,2804,2515,3552,3997,3519,2319,3586,7804,3191,2844,3181,2478,2752,2826,2509,2631,2724,2453,4583,8155,5667,5925,24551,13116,0
61,12090,12091,12237,9699,9188,8335,6355,6040,7769,8813,13680,11072,8523,10607,7280,8700,8498,6762,5011,6375,9390,8394,13920,10783,5008,6885,11793,10321,0
62,3135,2287,2953,2977,3107,2756,2112,2596,3476,11873,23134,20118,3950,3091,3014,4718,2868,2915,3829,3136,3388,3355,3816,5748,3382,3169,3154,3752,0
63,20029,16369,18483,13919,7987,6507,6974,9079,11430,11881,34493,14183,14662,15721,15722,26515,36510,42195,40303,31333,35761,44538,55622,41131,37850,40384,41565,44698,0
64,3435,1176,2283,17447,8331,2691,1136,2637,11007,2159,4392,3554,2644,18179,5191,1092,997,3730,7943,7886,2963,746,2629,10571,2356,988,493,525,0
65,87252,87330,104155,101657,80471,69529,62654,69190,69247,61862,69537,47919,22305,23315,24263,15515,12298,17437,15879,9959,16297,17328,21608,24282,10209,10864,15714,19093,0
66,50564,64562,64582,57301,58125,50375,17191,18267,112995,59326,51804,96777,11660,10374,58173,65096,52902,54732,20216,22152,54891,45762,51954,46344,38368,44647,41238,37341,0
67,4731,5680,33940,23591,18337,20862,7068,6298,27397,23566,46401,26000,23196,26161,22087,19590,21485,23216,6718,6371,25655,23705,27856,37845,8550,8948,50914,51782,0
68,13343,14356,13484,15126,15117,9052,7215,6460,5232,3711,8284,4849,1456,1377,4393,3388,4273,6891,10285,8971,11271,16680,18480,16297,13867,11951,10836,13557,0
69,19213,20744,19754,20298,20413,18346,18202,18157,19096,20023,25099,27652,22271,20303,19537,18313,18112,21612,23147,18135,17469,17299,21093,25266,20534,18702,17859,17115,0
70,58722,60216,45177,48025,52109,32308,35430,51922,48287,40428,56536,60969,45873,49664,59930,66547,62066,37332,22246,29367,63228,36897,42736,87602,49854,38952,52249,53542,0
71,12845,13244,11249,14511,19846,8642,8570,16732,13366,15196,26603,25661,14529,20115,15655,20568,36046,15346,18163,32431,20635,18544,25987,6440,3658,9039,10580,16201,0
72,7648,14531,8375,12096,21445,19546,11601,13493,15375,11838,13743,58284,25225,19418,12252,11159,19847,11255,11517,8025,8977,6165,7518,46688,7959,1928,2462,15047,0
